from,to,flow,capacity,shadow_price
S,21_1,0,999,0
S,21_2,0.265,999,0
S,21_3,0.35,999,0
S,21_4,0.35,999,0
S,21_5,0.35,999,0
S,21_6,0,999,0
S,21_7,0.35,999,0
S,21_8,0.325,999,0
S,21_9,0,999,0
S,21_10,0,999,0
S,21_11,0.35,999,0
S,21_12,0,999,0
S,21_13,0,999,0
S,21_14,0,999,0
S,21_15,1.455,999,0
S,21_16,0,999,0
S,21_17,0,999,0
S,21_18,0,999,0
S,21_19,0,999,0
S,21_20,0,999,0
S,21_21,0,999,0
3_3,T,0,999,0
4_3,T,0.17,999,0
5_3,T,0,999,0
6_3,T,0.055,999,0
3_4,T,0.84,999,0
4_4,T,0.63,999,0
5_4,T,0,999,0
6_4,T,0.525,999,0
3_5,T,0,999,0
4_5,T,0,999,0
5_5,T,0,999,0
6_5,T,0,999,0
3_6,T,0.525,999,0
4_6,T,0,999,0
5_6,T,0.525,999,0
6_6,T,0.525,999,0
1_1,1_2,0.135,0.175,0
1_1,2_2,0,0.105,0
1_1,2_1,0,0.105,0
1_2,1_3,0.03,0.105,0
1_2,2_3,0.105,0.105,0
1_2,2_2,0,0.105,0
1_2,2_1,0,0.105,0
1_2,1_1,0,0.105,0
1_3,1_4,0,0.105,0
1_3,2_4,0.03,0.105,0
1_3,2_3,0,0.105,0
1_3,2_2,0,0.105,0
1_3,1_2,0,0.175,0
1_4,1_5,0,0.175,0
1_4,2_5,0.105,0.105,0
1_4,2_4,0.105,0.105,0
1_4,2_3,0,0.105,0
1_4,1_3,0,0.105,0
1_5,1_6,0,0.105,0
1_5,2_6,0,0.175,0
1_5,2_5,0.105,0.105,0
1_5,2_4,0,0.105,0
1_5,1_4,0.105,0.105,0
1_6,1_7,0,0.105,0
1_6,2_7,0,0.105,0
1_6,2_6,0,0.175,0
1_6,2_5,0.105,0.105,0
1_6,1_5,0.105,0.175,0
1_7,1_8,0,0.105,0
1_7,2_8,0,0.105,0
