"model","B","param_name","param_value","damage","n_cleared","cleared_cells","status","marginal_value"
"A",5,"tau",0,240,0,"",0,0
"A",5,"tau",0.05,240,0,"",0,0
"A",5,"tau",0.1,240,0,"",0,0
"A",5,"tau",0.15,0,0,"",0,0
"A",5,"tau",0.2,0,0,"",0,0
"A",8,"tau",0,240,0,"",0,0
"A",8,"tau",0.05,240,0,"",0,0
"A",8,"tau",0.1,240,0,"",0,0
"A",8,"tau",0.15,0,0,"",0,0
"A",8,"tau",0.2,0,0,"",0,0
"A",10,"tau",0,240,0,"",0,53.3333333333333
"A",10,"tau",0.05,240,0,"",0,53.3333333333333
"A",10,"tau",0.1,240,0,"",0,53.3333333333333
"A",10,"tau",0.15,0,0,"",0,0
"A",10,"tau",0.2,0,0,"",0,0
"A",13,"tau",0,80,13,"1_15;2_15;3_15;4_15;5_15;6_15;7_15;7_16;7_17;7_18;7_19;7_20;7_21",0,0
"A",13,"tau",0.05,80,13,"1_15;2_15;3_15;4_15;5_15;6_15;7_15;7_16;7_17;7_18;7_19;7_20;7_21",0,0
"A",13,"tau",0.1,80,13,"1_15;2_15;3_15;4_15;5_15;6_15;7_15;7_16;7_17;7_18;7_19;7_20;7_21",0,0
"A",13,"tau",0.15,0,0,"",0,0
"A",13,"tau",0.2,0,0,"",0,0
"A",16,"tau",0,80,13,"1_15;2_15;3_15;4_15;5_15;6_15;7_15;7_16;7_17;7_18;7_19;7_20;7_21",0,20
"A",16,"tau",0.05,80,13,"1_15;2_15;3_15;4_15;5_15;6_15;7_15;7_16;7_17;7_18;7_19;7_20;7_21",0,20
"A",16,"tau",0.1,80,13,"1_15;2_15;3_15;4_15;5_15;6_15;7_15;7_16;7_17;7_18;7_19;7_20;7_21",0,20
"A",16,"tau",0.15,0,0,"",0,0
"A",16,"tau",0.2,0,0,"",0,0
"A",20,"tau",0,0,20,"18_1;18_2;18_3;18_4;18_5;18_6;18_7;18_8;18_9;18_10;18_11;18_12;18_13;18_15;18_16;18_17;18_18;18_19;18_20;18_21",0,NA
"A",20,"tau",0.05,0,20,"18_1;18_2;18_3;18_4;18_5;18_6;18_7;18_8;18_9;18_10;18_11;18_12;18_13;18_15;18_16;18_17;18_18;18_19;18_20;18_21",0,NA
"A",20,"tau",0.1,0,20,"18_1;18_2;18_3;18_4;18_5;18_6;18_7;18_8;18_9;18_10;18_11;18_12;18_13;18_15;18_16;18_17;18_18;18_19;18_20;18_21",0,NA
"A",20,"tau",0.15,0,0,"",0,NA
"A",20,"tau",0.2,0,0,"",0,NA
"B",5,"alpha",0.05,95.127085,5,"11_15;11_16;11_17;11_18;11_19",402,2.578264
"B",5,"alpha",0.1,38.189076,5,"11_15;11_16;11_17;11_18;11_19",402,1.86653033333333
"B",5,"alpha",0.15,15.528289,5,"11_15;11_16;11_17;11_18;11_19",402,1.026938
"B",5,"alpha",0.2,6.39429,5,"11_15;11_16;11_17;11_18;11_19",0,0.508728666666667
"B",5,"alpha",0.3,1.124586,5,"11_15;11_16;11_17;11_18;11_19",0,0.109248
"B",8,"alpha",0.05,87.392293,8,"7_14;7_15;7_16;7_17;7_18;7_19;7_20;7_21",402,4.892625
"B",8,"alpha",0.1,32.589485,8,"7_14;7_15;7_16;7_17;7_18;7_19;7_20;7_21",402,3.045856
"B",8,"alpha",0.15,12.447475,8,"7_14;7_15;7_16;7_17;7_18;7_19;7_20;7_21",402,1.4461
"B",8,"alpha",0.2,4.868104,8,"7_14;7_15;7_16;7_17;7_18;7_19;7_20;7_21",402,0.6202315
"B",8,"alpha",0.3,0.796842,8,"7_14;7_15;7_16;7_17;7_18;7_19;7_20;7_21",0,0.101871
"B",10,"alpha",0.05,77.607043,10,"7_12;7_13;7_14;7_15;7_16;7_17;7_18;7_19;7_20;7_21",402,14.760709
"B",10,"alpha",0.1,26.497773,10,"7_12;7_13;7_14;7_15;7_16;7_17;7_18;7_19;7_20;7_21",402,4.142205
"B",10,"alpha",0.15,9.555275,10,"7_12;7_13;7_14;7_15;7_16;7_17;7_18;7_19;7_20;7_21",402,1.178156
"B",10,"alpha",0.2,3.627641,10,"7_12;7_13;7_14;7_15;7_16;7_17;7_18;7_19;7_20;7_21",0,0.339437666666667
"B",10,"alpha",0.3,0.5931,10,"7_13;7_14;7_15;7_16;7_17;7_18;7_19;7_20;7_21;15_5",402,0.059133
"B",13,"alpha",0.05,33.324916,13,"1_15;2_15;3_15;4_15;5_15;6_15;7_15;7_16;7_17;7_18;7_19;7_20;7_21",0,0.855937000000001
"B",13,"alpha",0.1,14.071158,13,"1_15;2_15;3_15;4_15;5_15;6_15;7_15;7_16;7_17;7_18;7_19;7_20;7_21",0,0.696569
"B",13,"alpha",0.15,6.020807,13,"1_15;2_15;3_15;4_15;5_15;6_15;7_15;7_16;7_17;7_18;7_19;7_20;7_21",0,0.430932333333333
"B",13,"alpha",0.2,2.609328,13,"1_15;2_15;3_15;4_15;5_15;6_15;7_15;7_16;7_17;7_18;7_19;7_20;7_21",402,0.240072
"B",13,"alpha",0.3,0.415701,13,"5_14;6_14;7_14;7_15;7_16;7_17;7_18;7_19;7_20;7_21;11_4;11_5;11_6",402,0.0455943333333333
"B",16,"alpha",0.05,30.757105,16,"1_15;2_15;3_15;4_15;5_15;6_15;7_15;7_16;7_17;7_18;7_19;7_20;7_21;11_4;11_5;11_6",0,7.68927625
"B",16,"alpha",0.1,11.981451,16,"1_15;2_15;3_15;4_15;5_15;6_15;7_15;7_16;7_17;7_18;7_19;7_20;7_21;11_4;11_5;11_6",0,2.99536275
"B",16,"alpha",0.15,4.72801,16,"1_15;2_15;3_15;4_15;5_15;6_15;7_15;7_16;7_17;7_18;7_19;7_20;7_21;11_4;11_5;11_6",402,1.1820025
"B",16,"alpha",0.2,1.889112,16,"1_15;2_15;3_15;4_15;5_15;6_15;7_15;7_16;7_17;7_18;7_19;7_20;7_21;11_4;11_5;11_6",402,0.472278
"B",16,"alpha",0.3,0.278918,16,"7_1;7_2;7_3;7_4;7_5;7_6;7_7;7_13;7_14;7_15;7_16;7_17;7_18;7_19;7_20;7_21",402,0.0697295
"B",20,"alpha",0.05,0,20,"18_1;18_2;18_3;18_4;18_5;18_6;18_7;18_8;18_9;18_10;18_11;18_12;18_13;18_15;18_16;18_17;18_18;18_19;18_20;18_21",0,NA
"B",20,"alpha",0.1,0,20,"18_1;18_2;18_3;18_4;18_5;18_6;18_7;18_8;18_9;18_10;18_11;18_12;18_13;18_15;18_16;18_17;18_18;18_19;18_20;18_21",0,NA
"B",20,"alpha",0.15,0,20,"18_1;18_2;18_3;18_4;18_5;18_6;18_7;18_8;18_9;18_10;18_11;18_12;18_13;18_15;18_16;18_17;18_18;18_19;18_20;18_21",0,NA
"B",20,"alpha",0.2,0,20,"18_1;18_2;18_3;18_4;18_5;18_6;18_7;18_8;18_9;18_10;18_11;18_12;18_13;18_15;18_16;18_17;18_18;18_19;18_20;18_21",0,NA
"B",20,"alpha",0.3,0,20,"16_1;16_2;16_3;16_4;16_5;16_6;16_7;16_9;16_10;16_11;16_12;16_13;16_14;16_15;16_16;16_17;16_18;16_19;16_20;16_21",0,NA
