"model","B","param_name","param_value","damage","n_cleared","cleared_cells","status","marginal_value"
"A",5,"tau",0,240,0,"",0,0
"A",5,"tau",0.05,240,0,"",0,0
"A",5,"tau",0.1,240,0,"",0,0
"A",5,"tau",0.105,0,0,"",0,0
"A",5,"tau",0.11,0,0,"",0,0
"A",5,"tau",0.12,0,0,"",0,0
"A",5,"tau",0.13,0,0,"",0,0
"A",5,"tau",0.14,0,0,"",0,0
"A",5,"tau",0.15,0,0,"",0,0
"A",5,"tau",0.2,0,0,"",0,0
"A",8,"tau",0,240,0,"",0,0
"A",8,"tau",0.05,240,0,"",0,0
"A",8,"tau",0.1,240,0,"",0,0
"A",8,"tau",0.105,0,0,"",0,0
"A",8,"tau",0.11,0,0,"",0,0
"A",8,"tau",0.12,0,0,"",0,0
"A",8,"tau",0.13,0,0,"",0,0
"A",8,"tau",0.14,0,0,"",0,0
"A",8,"tau",0.15,0,0,"",0,0
"A",8,"tau",0.2,0,0,"",0,0
"A",10,"tau",0,240,0,"",0,53.3333333333333
"A",10,"tau",0.05,240,0,"",0,53.3333333333333
"A",10,"tau",0.1,240,0,"",0,53.3333333333333
"A",10,"tau",0.105,0,0,"",0,0
"A",10,"tau",0.11,0,0,"",0,0
"A",10,"tau",0.12,0,0,"",0,0
"A",10,"tau",0.13,0,0,"",0,0
"A",10,"tau",0.14,0,0,"",0,0
"A",10,"tau",0.15,0,0,"",0,0
"A",10,"tau",0.2,0,0,"",0,0
"A",13,"tau",0,80,13,"1_15;2_15;3_15;4_15;5_15;6_15;7_15;7_16;7_17;7_18;7_19;7_20;7_21",0,0
"A",13,"tau",0.05,80,13,"1_15;2_15;3_15;4_15;5_15;6_15;7_15;7_16;7_17;7_18;7_19;7_20;7_21",0,0
"A",13,"tau",0.1,80,13,"1_15;2_15;3_15;4_15;5_15;6_15;7_15;7_16;7_17;7_18;7_19;7_20;7_21",0,0
"A",13,"tau",0.105,0,0,"",0,0
"A",13,"tau",0.11,0,0,"",0,0
"A",13,"tau",0.12,0,0,"",0,0
"A",13,"tau",0.13,0,0,"",0,0
"A",13,"tau",0.14,0,0,"",0,0
"A",13,"tau",0.15,0,0,"",0,0
"A",13,"tau",0.2,0,0,"",0,0
"A",16,"tau",0,80,13,"1_15;2_15;3_15;4_15;5_15;6_15;7_15;7_16;7_17;7_18;7_19;7_20;7_21",0,20
"A",16,"tau",0.05,80,13,"1_15;2_15;3_15;4_15;5_15;6_15;7_15;7_16;7_17;7_18;7_19;7_20;7_21",0,20
"A",16,"tau",0.1,80,13,"1_15;2_15;3_15;4_15;5_15;6_15;7_15;7_16;7_17;7_18;7_19;7_20;7_21",0,20
"A",16,"tau",0.105,0,0,"",0,0
"A",16,"tau",0.11,0,0,"",0,0
"A",16,"tau",0.12,0,0,"",0,0
"A",16,"tau",0.13,0,0,"",0,0
"A",16,"tau",0.14,0,0,"",0,0
"A",16,"tau",0.15,0,0,"",0,0
"A",16,"tau",0.2,0,0,"",0,0
"A",20,"tau",0,0,20,"18_1;18_2;18_3;18_4;18_5;18_6;18_7;18_8;18_9;18_10;18_11;18_12;18_13;18_15;18_16;18_17;18_18;18_19;18_20;18_21",0,NA
"A",20,"tau",0.05,0,20,"18_1;18_2;18_3;18_4;18_5;18_6;18_7;18_8;18_9;18_10;18_11;18_12;18_13;18_15;18_16;18_17;18_18;18_19;18_20;18_21",0,NA
"A",20,"tau",0.1,0,20,"18_1;18_2;18_3;18_4;18_5;18_6;18_7;18_8;18_9;18_10;18_11;18_12;18_13;18_15;18_16;18_17;18_18;18_19;18_20;18_21",0,NA
"A",20,"tau",0.105,0,0,"",0,NA
"A",20,"tau",0.11,0,0,"",0,NA
"A",20,"tau",0.12,0,0,"",0,NA
"A",20,"tau",0.13,0,0,"",0,NA
"A",20,"tau",0.14,0,0,"",0,NA
"A",20,"tau",0.15,0,0,"",0,NA
"A",20,"tau",0.2,0,0,"",0,NA
