"plan_label","model","B","param_name","param_value","milp_damage","sim_mean","sim_se","sim_ci_lo","sim_ci_hi","n_cleared"
"baseline","none",0,"",NA,NA,16,6.94422221866655,2.38932445141356,29.6106755485864,0
"corridor_row10","corridor",17,"",NA,NA,0,0,0,0,17
"A_B13_tau0","A",13,"tau",0,80,2.5,1.11803398874989,0.308653382050206,4.69134661794979,13
"A_B20_tau0","A",20,"tau",0,0,0,0,0,0,20
"B_B5_alpha005","B",5,"alpha",0.05,95.127085,23,7.75313556640867,7.803854289839,38.196145710161,5
"B_B8_alpha005","B",8,"alpha",0.05,87.392293,1.5,0.763762615825973,0.00302527298109245,2.99697472701891,8
"B_B10_alpha005","B",10,"alpha",0.05,77.607043,2,2,-1.92,5.92,10
"B_B10_alpha03","B",10,"alpha",0.3,0.5931,6,2.33333333333333,1.42666666666667,10.5733333333333,10
"B_B13_alpha03","B",13,"alpha",0.3,0.415701,6,3.92994204085053,-1.70268640006704,13.702686400067,13
"B_B16_alpha005","B",16,"alpha",0.05,30.757105,5,3.41565025531987,-1.69467450042694,11.6946745004269,16
"B_B16_alpha03","B",16,"alpha",0.3,0.278918,3,3,-2.88,8.88,16
"B_B20_alpha03","B",20,"alpha",0.3,0,0,0,0,0,20
